pair_id,start_gantry_id,start_link_id,longitude,latitude,end_gantry_id,end_link_id,longitude,latitude,distance_km,direction
01F2249S_01F2322S,01F2249S,0000100022500N,120.484881,23.830569,01F2322S,0000100023200P,120.469342,23.766328,7.3,South
01F2322N_01F2249N,01F2322N,0000100123200P,120.469342,23.766328,01F2249N,0000100122500N,120.484881,23.830569,7.3,North
01F2322S_01F2394S,01F2322S,0000100023200P,120.469342,23.766328,01F2394S,0000100023900P,120.474917,23.702603,7.2,South
01F2394N_01F2322N,01F2394N,0000100123900P,120.474917,23.702603,01F2322N,0000100123200P,120.469342,23.766328,7.2,North
01F2394S_01F2425S,01F2394S,0000100023900P,120.474917,23.702603,01F2425S,0000100024200P,120.462281,23.677375,3.1,South
01F2425N_01F2394N,01F2425N,0000100124200P,120.462281,23.677375,01F2394N,0000100123900P,120.474917,23.702603,3.1,North
01F2425S_01F2472S,01F2425S,0000100024200P,120.462281,23.677375,01F2472S,0000100024700P,120.443114,23.639556,4.7,South
01F2425S_03F2614N,01F2425S,0000100024200P,120.462281,23.677375,03F2614N,0000300126120P,120.60178,23.724424,22.2,North
01F2425S_03F2709S,01F2425S,0000100024200P,120.462281,23.677375,03F2709S,0000300027100P,120.57295,23.649141,16.1,South
01F2472N_01F2425N,01F2472N,0000100124700P,120.443114,23.639556,01F2425N,0000100124200P,120.462281,23.677375,4.7,North
01F2472N_03F2614N,01F2472N,0000100124700P,120.443114,23.639556,03F2614N,0000300126120P,120.60178,23.724424,23.6,North
01F2472N_03F2709S,01F2472N,0000100124700P,120.443114,23.639556,03F2709S,0000300027100P,120.57295,23.649141,17.5,South
01F2472S_01F2514S,01F2472S,0000100024700P,120.443114,23.639556,01F2514S,0000100025110Q,120.435417,23.601989,4.2,South
01F2514N_01F2472N,01F2514N,0000100125100Q,120.435417,23.601989,01F2472N,0000100124700P,120.443114,23.639556,4.2,North
01F2514S_01F2603S,01F2514S,0000100025110Q,120.435417,23.601989,01F2603S,0000100026000Q,120.405583,23.526739,8.9,South
01F2603N_01F2514N,01F2603N,0000100126000Q,120.405583,23.526739,01F2514N,0000100125100Q,120.435417,23.601989,8.9,North
01F2603S_01F2674S,01F2603S,0000100026000Q,120.405583,23.526739,01F2674S,0000100026700Q,120.3777,23.469403,7.1,South
01F2674N_01F2603N,01F2674N,0000100126700Q,120.3777,23.469403,01F2603N,0000100126000Q,120.405583,23.526739,7.1,North
01F2674S_01F2714S,01F2674S,0000100026700Q,120.3777,23.469403,01F2714S,0000100027110Q,120.361561,23.436367,4,South
01F2714N_01F2674N,01F2714N,0000100127110Q,120.361561,23.436367,01F2674N,0000100126700Q,120.3777,23.469403,4,North
